MLS #,Acres,Basement Finished,Under Contract Date,Effective Date Of The Listing Agreement,List Price,Basement Square Feet,Sold Concessions,Sold Date,Sold Price,Sold Terms,Tax ID,Total Bedrooms,Total Full Bathrooms,Total Half Bathrooms,Total Three-quarter Bathrooms,Total Fireplaces,Total Kitchens,Total Laundry Rooms,Total Square Feet,Year Built,Road Condition,Accessability,Address
96889,0.41,0.0,2022-02-15,2022-02-07,375000,0,6000,2022-03-08,375000.0,CONV,A-0977-0020-0000,3,2,0,0,0,1,1,1197,2007,Paved,,2095 E Saddleback View E
96885,0.99,0.0,2022-04-21,2022-02-04,665000,0,0,2022-07-12,626692.5,CASH,D-0617-0003-0000,4,3,0,0,0,1,1,2521,2022,Paved,Year Round,2366 W 3750 N
96886,0.99,0.0,2022-04-11,2022-02-04,750000,0,0,2022-08-17,753836.0,CONV,D-0617-0002-0000,5,3,1,0,1,1,1,3441,2022,Paved,Year Round,2342 W 3750 N
96888,0.26,90.0,2022-02-09,2022-02-04,674900,2153,0,2022-03-01,680000.0,VA,B-1761-0006-0000,6,3,1,0,2,2,2,4306,2013,Paved,,605 S 2475 Nature View Dr. W
101322,0.06,0.0,2023-05-18,2023-02-04,35000,0,0,2023-05-23,35000.0,CASH,B-1567-0002-0000,2,1,1,0,0,1,1,520,1973,Paved,Year Round,465 N 800 #2 W
104171,0.02,0.0,2024-02-09,2023-09-28,262900,0,0,2024-02-23,259500.0,CASH,B-2040-0016-000G,3,2,1,0,0,1,1,1242,2023,Paved,Year Round,920 S 25 #16G E
104172,2.5,0.0,2023-10-23,2023-09-28,615000,0,0,2023-11-28,612000.0,CONV,E-0209-0001-0002-03,3,1,0,1,1,1,1,2100,2023,Paved,Year Round,5264 W 1525 S
96893,0.25,20.0,2022-02-25,2022-02-07,598900,2524,0,2022-03-29,550000.0,CONV,B-1395-0003-0006,3,2,1,0,1,1,1,5107,1994,Paved,,2188 N Sumack
97366,0.36,5.0,2022-03-18,2022-03-18,555000,1524,0,2022-04-22,555000.0,CONV,B-1799-0009-0000,4,2,1,0,0,1,1,3659,2022,Paved,,3810 W 1375 N
97367,1.66,100.0,2022-05-29,2022-03-18,574900,832,0,2022-06-24,555000.0,CONV,A-5000-0002-0034,5,3,1,0,1,1,1,2488,2006,Unimproved,Year Round,1005 E Cedar Highlands
97368,0.0,0.0,2022-04-07,2022-03-18,249000,0,0,2022-05-11,229000.0,CONV,A-1176-000B-0304,0,2,0,0,1,1,1,621,1984,Paved,Year Round,464 N Highway 143 #b304
96908,0.25,100.0,2022-02-11,2022-02-08,430000,1530,0,2022-03-01,422500.0,CASH,B-1135-0029-0015,6,3,0,0,1,1,1,3060,1978,Paved,Year Round,1177 S Mountain View Drive
96909,0.08,0.0,2022-02-18,2022-02-08,330000,0,8500,2022-03-24,332000.0,VA,B-1870-0059-000W,3,2,1,0,0,1,1,1481,2014,Paved,,1901 W Aaron Tippets Road
96910,0.25,0.0,2022-02-14,2022-02-08,450000,0,0,2022-03-08,460000.0,CONV,B-1868-0009-0000,3,2,0,0,0,1,1,1652,2010,Paved,,1783 N 3475 W
96911,0.19,50.0,2022-02-14,2022-02-09,334900,1276,10000,2022-04-01,344900.0,FHA,A-0511-0005-0006,3,2,0,0,1,1,1,2552,1975,Paved,Year Round,289 S 700 W
96915,0.0,0.0,2022-02-11,2022-02-09,306000,0,0,2022-03-11,306000.0,CONV,B-1976-0018-0058,2,2,0,0,0,1,1,1307,2009,Paved,Year Round,1177 N Northfield #58 Road
96917,0.08,0.0,2022-02-09,2022-02-09,329900,0,0,2022-02-28,330000.0,CASH,B-1870-0097-0001,3,2,1,0,1,1,1,1582,2007,Paved,,2747 N Mountain Valley Trail
96921,0.17,0.0,2022-03-15,2022-02-09,355000,0,0,2022-04-13,355000.0,FHA,B-1390-0026-0000,3,2,0,0,1,1,1,1046,1995,Paved,Year Round,2152 N Chandler Drive
96924,0.02,0.0,2022-02-09,2022-02-09,315000,0,0,2022-03-24,312000.0,CONV,B-1386-0057-0000,3,2,1,0,0,1,1,1608,2020,Paved,,1541 S Quartz #c;;;1541 1500 #c W Drive
96930,0.08,0.0,2022-02-14,2022-02-10,335000,0,0,2022-03-11,335000.0,FHA,B-1870-0026-000N,3,2,1,0,0,1,1,1612,2007,Paved,,2856 N Clark Park Way
96931,2.63,0.0,2022-02-21,2022-02-10,1175000,0,0,2022-03-23,1050000.0,CONV,E-0209-0001-0010-26,4,3,0,0,1,1,1,3614,2019,Paved,Year Round,908 S 4575 W
96933,0.44,0.0,2022-04-18,2022-02-10,599000,0,0,2022-05-12,585000.0,CONV,A-0917-0055-0000,4,2,0,0,1,1,1,2953,2006,Paved,,5095 N Ridge View Circle
96937,0.19,100.0,2022-03-27,2022-02-09,385000,550,0,2022-05-05,365500.0,CONV,B-1390-0098-0000,4,2,0,0,0,1,1,1648,1996,Paved,Year Round,2184 N Chandler Drive
96936,0.27,0.0,2022-02-23,2022-02-10,500526,1946,0,2022-02-23,505805.0,CONV,B-1857-0027-0053,3,2,1,0,0,1,1,3812,2022,Paved,,352 S Sherratt
96942,0.23,100.0,2022-03-18,2022-02-10,619000,1544,3500,2022-04-12,600000.0,CONV,B-1813-0005-0000,5,3,0,0,1,1,1,3088,2012,Paved,,3838 W 1300 N
96943,0.23,15.0,2022-02-16,2022-02-09,459000,1793,0,2022-03-15,475000.0,CONV,A-0270-0003-0000,3,2,0,0,1,1,1,3586,1996,Paved,,240 W Center
